# pag: 1
07.480.539/0001-34;1043 CONSULTORIA E ASSESSORIA FINANCEIRA LTDA.
60.129.269/0001-02;104 GRUPO ESCOTEIRO DO AR FALCOES DO VALE
02.692.724/0001-79;105 PARTCIPACOES LTDA
05.254.483/0001-74;107 BOLINHOS DELICIOSOS LANCHES LTDA.
# pag: 5
90.604.778/0001-00;108 IMOVEIS LTDA
03.856.467/0001-26;10 BR LTDA
27.561.521/0001-74;10 COLUMBIA CLUBE
83.318.865/0001-28;10 DE OUTUBRO COMERCIO DE MATERIAIS DE CONSTRUCAO E SERVICOS LTDA EPP
04.488.669/0001-25;110 EDUVERON COMERCIO DE ROUPAS LTDA
01.256.631/0001-39;1117 MOVEIS E DECORACOES LTDA
02.332.861/0001-00;1-12 INTERACTIVE DO BRASIL LTDA
31.399.421/0001-60;1135 BAR E RESTAURANTE LTDA ME
32.257.917/0001-62;114 COMERCIO DE OBJETOS USADOS LTDA ME
00.578.345/0001-27;1153 MEL ROSE STREET COMERCIO DE ROUPAS LTDA
69.122.760/0001-78;11 CARTORIO DE REGISTRO CIVIL-SANTA CECILIA
05.158.990/0001-04;11 DE ABRIL LTDA
69.005.882/0003-46;1200 TELECOMUNICACOES LTDA
69.005.882/0001-84;1200 TELECOMUNICACOES LTDA
69.005.882/0002-65;1200 TELECOMUNICACOES LTDA
00.009.815/0001-31;1200 TELEFONIA CELULAR LTDA
39.530.043/0001-14;1210 AUTO PECAS LTDA ME
06.306.300/0001-80;1,2,3, MARIANA LANCHES LTDA
96.293.733/0001-30;125/5.6 PRODUCOES FOTOGRAFICAS SOCIEDADE SIMPLES LTDA
31.017.429/0001-15;126 RIO COMERCIO DE ROUPAS E ACESSORIOS LTDA
# pag: 6
45.565.371/0001-59;12 CARTORIO DE NOTAS
04.909.777/0001-24;12 DE JUNHO CONSULTORIA E ASSESSORIA S/C LTDA.
54.904.750/0001-17;12 DE NOVEMBRO COMERCIO DE METAIS LTDA
07.741.046/0001-00;12 DE OUTUBRO COMUNICAO E IMAGEM LTDA
48.295.026/0001-30;12 DE OUTUBRO DISTRIBUIDORA DE BEBIDAS LTDA
67.676.957/0001-23;12 DE OUTUBRO RESTAURANTE DE SERV.DE ALIM.LTDA-ME
32.159.667/0002-09;12 DE SETEMBRO AGROPECUARIA INCO E EMPREENDIMENTOS LTDA
92.325.554/0001-87;12 TABELIONATO DE PORTO ALEGRE
02.033.842/0001-75;12 VOLTS PECAS E ACESSORIOS LTDA
72.548.886/0001-13;134 VEICULOS LTDA
65.431.421/0001-12;1387 LANCHES LTDA
04.456.346/0001-50;13 DE MAIO CONSTRUCAO E PAVIMENTACAO LTDA
03.168.415/0001-67;13 DE MAIO ONG
45.572.393/0001-46;13 OFICIAL DE REGISTRO DE IMOVEIS DA CAPITAL
02.880.278/0001-26;142 COMUNICACAO LTDA
03.611.488/0001-81;148 BRASIL LANCHES LTDA
01.767.120/0001-81;14 BEER'S BAR E LANCHONETE LTDA ME
04.260.879/0001-61;14 BIS ARMARINHO E PERFUMARIA LTDA
10.294.249/0001-00;14BIS BAR E BOATE LTDA ME
35.138.916/0001-97;14 BIS INDUSTRIA DE CONFECCOES LTDA
# pag: 7
26.582.692/0001-17;14 BIS LANCHES LTDA-ME
03.294.948/0001-95;14 BIS LTDA
02.656.034/0001-64;14 BIS-MARKETING, COMUNICACAO E COMERCIO DE MATERIAIS PUBLICITARIOS LTDA
06.287.554/0001-06;14 BIS MATERIAIS PARA CONSTRUCAO LTDA - ME
49.083.025/0001-95;14 BIS - PRODUCOES ARTISTICAS LTDA
06.229.741/0001-25;14 BIS - PRODUCOES, PROMOCOES DE EVENTOS E SERVICOS LTDA
01.415.909/0001-73;14 BIS RESTAURANTE LTDA ME
05.423.963/0001-11;14 BRASIL TELECOM CELULAR S/A
04.670.990/0001-26;1/4 DE ANJO DECORACOES E ARTIGOS INFANTIS LTDA.
03.216.325/0001-02;14 DE SETEMBRO SERVICOS E ASSESSORIA EM VISTORIA LTDA
03.339.765/0001-49;150 DE NOVO COMERCIO DE ROUPAS LTDA.
08.169.025/0001-25;150ML REPRESENTACOES COMERCIAIS LTDA
01.356.134/0001-02;1515 DISTRIBUIDORA DE MIUDEZAS LTDA
05.076.249/0001-02;151 LANCHES MINAS LTDA
68.058.601/0001-99;1524 LANCHES LTDA
05.076.263/0001-06;152 LANCHES MINAS LTDA
05.076.267/0001-86;153 LANCHES MINAS LTDA
05.361.627/0001-91;154 LANCHES MINAS LTDA
05.867.273/0001-51;154 MASTER SOUND INSTRUMENTOS MUSICAIS LTDA
72.938.509/0001-90;1555 CREACOES LTDA
# pag: 8
05.398.778/0001-14;1592 STUDIO GRAFICO COMERCIO & SERVICOS LTDA ME
91.466.599/0001-09;15 COMERCIO DE AREIA LTDA
00.124.163/0001-86;15 DE MARCO COMERCIO E REPRESENTACAO LTDA ME
